time,bid,ask
2023-12-18T10:27:54.752Z,142.524,142.526
2023-12-18T10:27:58.959Z,142.529,142.531
2023-12-18T10:28:06.589Z,142.527,142.53
2023-12-18T10:28:08.671Z,142.525,142.529
2023-12-18T10:28:10.816Z,142.526,142.527
2023-12-18T10:28:15.023Z,142.531,142.532
2023-12-18T10:28:17.113Z,142.53,142.533
2023-12-18T10:28:22.062Z,142.531,142.536
2023-12-18T10:28:24.163Z,142.535,142.539
2023-12-18T10:28:26.275Z,142.538,142.54
2023-12-18T10:28:28.372Z,142.536,142.538
2023-12-18T10:28:30.486Z,142.537,142.539
2023-12-18T10:28:37.983Z,142.534,142.536
2023-12-18T10:28:42.159Z,142.536,142.539
2023-12-18T10:28:44.244Z,142.535,142.537
2023-12-18T10:28:59.793Z,142.534,142.535
2023-12-18T10:29:01.878Z,142.528,142.534
2023-12-18T10:29:03.969Z,142.534,142.535
2023-12-18T10:29:08.185Z,142.528,142.53
2023-12-18T10:29:12.359Z,142.53,142.532
2023-12-18T10:29:14.449Z,142.526,142.529
2023-12-18T10:29:16.539Z,142.527,142.528
2023-12-18T10:29:20.690Z,142.53,142.532
2023-12-18T10:29:24.859Z,142.534,142.536
2023-12-18T10:29:30.275Z,142.527,142.537
2023-12-18T10:29:32.367Z,142.526,142.528
2023-12-18T10:29:36.569Z,142.527,142.529
2023-12-18T10:29:39.510Z,142.526,142.528
2023-12-18T10:29:42.855Z,142.527,142.529
2023-12-18T10:29:49.144Z,142.526,142.528
2023-12-18T10:29:51.231Z,142.527,142.529
2023-12-18T10:29:56.283Z,142.531,142.532
2023-12-18T10:29:59.582Z,142.533,142.533
2023-12-18T10:30:01.715Z,142.534,142.536
2023-12-18T10:30:03.809Z,142.54,142.537
2023-12-18T10:30:05.965Z,142.542,142.543
2023-12-18T10:30:10.131Z,142.543,142.545
2023-12-18T10:30:12.953Z,142.542,142.544
2023-12-18T10:30:16.391Z,142.543,142.545
2023-12-18T10:30:20.572Z,142.552,142.553
2023-12-18T10:30:24.767Z,142.545,142.555
2023-12-18T10:30:26.875Z,142.549,142.547
2023-12-18T10:30:28.992Z,142.553,142.555
2023-12-18T10:30:31.816Z,142.552,142.554
2023-12-18T10:30:33.898Z,142.548,142.542
2023-12-18T10:30:38.069Z,142.54,142.541
2023-12-18T10:30:40.155Z,142.542,142.544
2023-12-18T10:30:48.540Z,142.543,142.545
2023-12-18T10:30:50.621Z,142.542,142.544
2023-12-18T10:30:52.704Z,142.541,142.543
2023-12-18T10:30:59.058Z,142.543,142.546
2023-12-18T10:31:03.266Z,142.554,142.564
2023-12-18T10:31:05.359Z,142.563,142.565
2023-12-18T10:31:07.455Z,142.557,142.559
2023-12-18T10:31:13.163Z,142.567,142.568
2023-12-18T10:31:15.255Z,142.565,142.569
2023-12-18T10:31:17.335Z,142.556,142.558
2023-12-18T10:31:19.412Z,142.555,142.557
2023-12-18T10:31:24.268Z,142.557,142.558
2023-12-18T10:31:26.358Z,142.555,142.565
2023-12-18T10:31:28.448Z,142.563,142.566
2023-12-18T10:31:30.537Z,142.556,142.558
2023-12-18T10:31:34.070Z,142.557,142.559
2023-12-18T10:31:36.848Z,142.558,142.56
2023-12-18T10:31:43.139Z,142.557,142.559
2023-12-18T10:31:45.228Z,142.559,142.558
2023-12-18T10:31:47.337Z,142.556,142.576
2023-12-18T10:31:51.523Z,142.581,142.583
2023-12-18T10:31:53.613Z,142.587,142.589
2023-12-18T10:31:59.364Z,142.589,142.59
2023-12-18T10:32:01.612Z,142.585,142.591
2023-12-18T10:32:08.008Z,142.584,142.587
2023-12-18T10:32:12.180Z,142.585,142.586
2023-12-18T10:32:16.380Z,142.583,142.587
2023-12-18T10:32:20.560Z,142.584,142.586
2023-12-18T10:32:22.968Z,142.583,142.585
2023-12-18T10:32:27.141Z,142.572,142.574
2023-12-18T10:32:29.265Z,142.571,142.573
2023-12-18T10:32:31.379Z,142.573,142.575
2023-12-18T10:32:33.482Z,142.57,142.572
2023-12-18T10:32:37.401Z,142.563,142.558
